pt_min,sigma theta
100,0.02932575659723036
200,0.01467320790771501
300,0.009793605188150544
400,0.007357226914999148
500,0.00589812502307969
550,0.005368466798126307
600,0.004927647100632575
700,0.004236368148505538
750,0.0039605234947432165
800,0.0037195735337169065
850,0.003507358313056197
900,0.003319086651704259
950,0.00315097594002759
1000,0.003
1100,0.0027400984003638326
1200,0.002524570615000392
1300,0.0023431617590061013
1400,0.00218854610996624
1500,0.002055350795152389
1700,0.0018380481188128362
1900,0.0016688896448502793
2200,0.001476504356224326
2500,0.001333939256260921
2700,0.0012582465503780612
3000,0.0011658246119437058
3500,0.0010515471418180342
4000,0.0009701999169180951
4500,0.0009102374612921856
5000,0.0008647998542314793
7000,0.0007612280544598459
9000,0.0007142572099847601
11000,0.0006892614833550211
13000,0.0006744657665802508
15000,0.0006650147884907036
20000,0.0006523268375824367
25000,0.0006463698162769817
30000,0.0006431107760395068
35000,0.000641137671576594
40000,0.000639853794853073
45000,0.0006389720826134708
50000,0.0006383406519083581
55000,0.000637873062275135
60000,0.0006375171923915754
80000,0.0006366973556779332
100000,0.0006363175307973212
1000000,0.0006363175307973212
10000000,0.0006363175307973212
