pt_min,sigma z0
100,0.9005692644100176
200,0.45272993488325236
300,0.30451756660760154
400,0.2311909220195344
500,0.18779623063955317
550,0.17221384108822127
600,0.15934516319156886
700,0.1394117533856653
750,0.13156775042440916
800,0.1247816274355105
850,0.1188642140158154
900,0.1136683693548671
950,0.10907793492199191
1000,0.105
1100,0.09809457530864651
1200,0.09249791455773944
1300,0.08789616124879189
1400,0.08406576702148341
1500,0.08084344238915636
1700,0.07576489479167334
1900,0.07199057515470698
2200,0.06792481406408021
2500,0.06509317331426707
2700,0.06366058744565226
3000,0.0619843486997012
3500,0.06003207244221096
4000,0.05873025135517831
4500,0.057820793578919526
5000,0.057161387688056016
7000,0.05575936127522136
9000,0.05517204891897657
11000,0.05487235603698675
13000,0.05469924452515534
15000,0.05459035282697198
20000,0.054446248166369914
25000,0.05437941901235441
30000,0.054343082308949506
35000,0.054321160676269326
40000,0.054306927958064646
45000,0.05429716789760733
50000,0.054290185507366265
55000,0.05428501875016933
60000,0.05428108867831645
80000,0.05427204202399745
100000,0.05426785420486054
1000000,0.05426785420486054
10000000,0.05426785420486054
